hospital.state  num_procedures  procedures_score  procedures_min_score  procedures_max_score  procedures_norm_score num_complications complications_score complications_min_score complications_max_score complications_norm_score  num_readmissions  readmissions_score  readmissions_min_score  readmissions_max_score  readmissions_norm_score overall_score worst_overall_score best_overall_score
MN  141 9462  2726  74495 0.127956745 130 410.23  184.09  1164.95 0.295407625 120 1639.9  966.3 2623  0.631712689 1.055077059 3 0
SD  35  1956  684 18762 0.107001178 35  126.54  55.14 348 0.296927866 34  473.3 278.3 729.6 0.660642053 1.064571096 3 0
CO  131 8781  2540  69482 0.127313352 128 464.37  200.68  1266.68 0.308194086 117 1625.1  954.2 2553.1  0.640846333 1.076353772 3 0
TX  723 53984 14044 384418  0.14559094  657 1948.18 875.18  5547.52 0.288609606 642 8981.4  5225.6  14020.4 0.644748414 1.078948961 3 0
MA  159 14046 3074  84005 0.168609977 151 523.97  227.41  1436.81 0.303923271 154 2001  1264.9  3331.2  0.606451216 1.078984464 3 0
OH  345 24292 6670  182275  0.140214501 327 1110.86 490.55  3099.67 0.299319237 326 4476.2  2664.7  7062.6  0.639882476 1.079416214 3 0
UT  90  5775  1740  47550 0.121264777 83  280.66  117.6 744.18  0.306530334 68  990.2 551 1513.6  0.655727054 1.083522165 3 0
WI  186 11754 3596  98270 0.1194488 176 572.88  263.14  1662.86 0.296313341 172 2466.4  1402.6  3733.5  0.668144312 1.083906452 3 0
OK  203 12981 3966  108016  0.130396495 174 459.64  194.43  1239.09 0.294666385 167 2410.8  1339.5  3672.7  0.65941235  1.08447523  3 0
LA  202 13760 3942  108075  0.134373512 184 541.43  239.43  1518.69 0.305585414 182 2569.1  1472.8  3959.6  0.653551068 1.093509995 3 0
